	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic	pattern	year	is_fragment	distorted	full_pattern	token_count	filename_raw	period	period-denser
330	2018.03.16_путин_выступление.обращение к гражданам.тв_обращение к гражданам_выборы 2018	2018.03.16	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['выборы 2018']	False	True	False	True	True	True	0101	2018	False	False	01011100	214	2018.03.16_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_выборы-2018.txt	путин 2012-2024	путин 2012-2018
331	2018.03.23_путин_выступление.обращение к гражданам.тв_обращение к гражданам_итоги выборов.выборы 2018	2018.03.23	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['итоги выборов', 'выборы 2018']	False	True	False	True	True	True	0101	2018	False	False	01011100	885	2018.03.23_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_итоги-выборов.выборы-2018.txt	путин 2012-2024	путин 2012-2018
332	2018.05.07_путин_выступление_выступление на церемонии вступления в должность президента_инаугурация	2018.05.07	['путин']	['выступление']	['выступление на церемонии вступления в должность президента']	['инаугурация']	False	True	False	False	True	True	0100	2018	False	False	01001100	1649	2018.05.07_путин_выступление_выступление-на-церемонии-вступления-в-должность-президента_инаугурация.txt	путин 2012-2024	путин 2012-2018
333	2019.02.20_путин_выступление.послание_послание федеральному собранию	2019.02.20	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2019	False	False	01001000	12328	2019.02.20_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2012-2024	путин 2018-2024
334	2020.01.15_путин_выступление.послание_послание федеральному собранию	2020.01.15	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2020	False	False	01001000	9392	2020.01.15_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2012-2024	путин 2018-2024
335	2020.03.10_путин_выступление_выступление на пленарном заседании госдумы_поправки к конституции 2020	2020.03.10	['путин']	['выступление']	['выступление на пленарном заседании госдумы']	['поправки к конституции 2020']	False	True	False	False	False	True	0100	2020	False	False	01000100	2598	2020.03.10_путин_выступление_выступление-на-пленарном-заседании-госдумы_поправки-к-конституции-2020.txt	путин 2012-2024	путин 2018-2024
336	2020.03.25_путин_выступление.обращение к гражданам.тв_обращение к гражданам_ковид	2020.03.25	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['ковид']	False	True	False	True	False	True	0101	2020	False	False	01010100	2133	2020.03.25_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_ковид.txt	путин 2012-2024	путин 2018-2024
337	2020.04.02_путин_выступление.обращение к гражданам.тв_обращение к гражданам_ковид	2020.04.02	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['ковид']	False	True	False	True	False	True	0101	2020	False	False	01010100	949	2020.04.02_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_ковид.txt	путин 2012-2024	путин 2018-2024
338	2020.06.19_путин_статья_75 лет великой победы общая ответственность перед историей_75 лет победы	2020.06.19	['путин']	['статья']	['75 лет великой победы общая ответственность перед историей']	['75 лет победы']	False	True	True	True	False	True	0110	2020	False	False	01100100	8305	2020.06.19_путин_статья_75-лет-великой-победы-общая-ответственность-перед-историей_75-лет-победы.txt	путин 2012-2024	путин 2018-2024
339	2020.06.23_путин_выступление.обращение к гражданам.тв_обращение к гражданам_ковид	2020.06.23	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['ковид']	False	True	False	True	False	True	0101	2020	False	False	01010100	6440	2020.06.23_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_ковид.txt	путин 2012-2024	путин 2018-2024
340	2020.07.03_рабочая группа по подготовке предложений о внесении поправок в конституцию рф_конституция_конституция рф.поправки к конституции 2020	2020.07.03	['рабочая группа по подготовке предложений о внесении поправок в конституцию рф']	['конституция']	['конституция рф', 'поправки к конституции 2020']	['конституция рф', 'поправки к конституции 2020']	True	False	True	False	False	False	1010	2020	False	False	10100000	11752	2020.07.03_рабочая-группа-по-подготовке-предложений-о-внесении-поправок-в-конституцию-рф_конституция_конституция-рф.поправки-к-конституции-2020.txt	путин 2012-2024	путин 2018-2024
341	2020.09.22_путин_выступление.речь.видеообращение_выступление на пленарном заседании 75 сессии генассамблеи оон_оон	2020.09.22	['путин']	['выступление', 'речь', 'видеообращение']	['выступление на пленарном заседании 75 сессии генассамблеи оон']	['оон']	False	True	False	False	False	True	0100	2020	False	False	01000100	2269	2020.09.22_путин_выступление.речь.видеообращение_выступление-на-пленарном-заседании-75-сессии-генассамблеи-оон_оон.txt	путин 2012-2024	путин 2018-2024
342	2020.09.23_путин_заявление.выступление_встреча с сенаторами рф_поправки к конституции 2020	2020.09.23	['путин']	['заявление', 'выступление']	['встреча с сенаторами рф']	['поправки к конституции 2020']	False	True	False	False	False	True	0100	2020	False	False	01000100	6668	2020.09.23_путин_заявление.выступление_встреча-с-сенаторами-рф_поправки-к-конституции-2020.txt	путин 2012-2024	путин 2018-2024
343	2020.11.10_путин_заявление.обращение_заявление_конфликт в нагорном карабахе	2020.11.10	['путин']	['заявление', 'обращение']	['заявление']	['конфликт в нагорном карабахе']	False	True	True	True	False	True	0111	2020	False	False	01110100	196	2020.11.10_путин_заявление.обращение_заявление_конфликт-в-нагорном-карабахе.txt	путин 2012-2024	путин 2018-2024
344	2021.04.21_путин_выступление.послание_послание федеральному собранию	2021.04.21	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2021	False	False	01001000	9919	2021.04.21_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2012-2024	путин 2018-2024
345	2021.06.22_путин_статья_быть открытыми несмотря на прошлое_80 лет нападению германии на ссср	2021.06.22	['путин']	['статья']	['быть открытыми несмотря на прошлое']	['80 лет нападению германии на ссср']	False	True	True	True	False	True	0110	2021	False	False	01100100	1020	2021.06.22_путин_статья_быть-открытыми-несмотря-на-прошлое_80-лет-нападению-германии-на-ссср.txt	путин 2012-2024	путин 2018-2024
346	2021.07.12_путин_статья_об историческом единстве русских и украинцев	2021.07.12	['путин']	['статья']	['об историческом единстве русских и украинцев']	['об историческом единстве русских и украинцев']	False	True	True	True	False	False	0110	2021	False	False	01100000	6668	2021.07.12_путин_статья_об-историческом-единстве-русских-и-украинцев.txt	путин 2012-2024	путин 2018-2024
347	2021.09.16_путин_выступление.обращение к гражданам.тв_обращение к гражданам_выбору в госдуму 2021	2021.09.16	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['выбору в госдуму 2021']	False	True	False	True	False	True	0101	2021	False	False	01010100	515	2021.09.16_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_выбору-в-госдуму-2021.txt	путин 2012-2024	путин 2018-2024
348	2022.02.21_путин_выступление.обращение к гражданам.тв_обращение к гражданам_украина.днр.лнр	2022.02.21	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['украина', 'днр', 'лнр']	False	True	False	True	False	True	0101	2022	False	False	01010100	7455	2022.02.21_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_украина.днр.лнр.txt	путин 2012-2024	путин 2018-2024
349	2022.02.24_путин_выступление.обращение к гражданам.тв_обращение к гражданам_сво.24 февраля	2022.02.24	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['сво', '24 февраля']	False	True	False	True	False	True	0101	2022	False	False	01010100	3678	2022.02.24_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_сво.24-февраля.txt	путин 2012-2024	путин 2018-2024
350	2022.05.09_путин_выступление.речь.военный парад_выступление на военном параде_парад победы.9 мая	2022.05.09	['путин']	['выступление', 'речь', 'военный парад']	['выступление на военном параде']	['парад победы', '9 мая']	False	True	False	False	False	True	0100	2022	False	False	01000100	1272	2022.05.09_путин_выступление.речь.военный-парад_выступление-на-военном-параде_парад-победы.9-мая.txt	путин 2012-2024	путин 2018-2024
351	2022.09.21_путин_выступление.обращение к гражданам.тв_обращение к гражданам_мобилизация	2022.09.21	['путин']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['мобилизация']	False	True	False	True	False	True	0101	2022	False	False	01010100	1866	2022.09.21_путин_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_мобилизация.txt	путин 2012-2024	путин 2018-2024
