	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
55	1918.01.25_съезд советов.съезд советов 3_декларация_декларация прав трудящегося и эксплуатируемого народа	1918.01.25	['съезд советов', 'съезд советов 3']	['декларация']	['декларация прав трудящегося и эксплуатируемого народа']	['декларация прав трудящегося и эксплуатируемого народа']	True	False	True	False	False	False
56	1918.01.28_ленин.другие_декрет_об организации красной армии	1918.01.28	['ленин', 'другие']	['декрет']	['об организации красной армии']	['об организации красной армии']	True	True	True	False	False	False
57	1918.01.28_съезд советов.съезд советов 3_резолюция_о политике снк по национальному вопросу	1918.01.28	['съезд советов', 'съезд советов 3']	['резолюция']	['о политике снк по национальному вопросу']	['о политике снк по национальному вопросу']	True	False	True	False	False	False
58	1918.01.29_съезд советов.съезд советов 3_обращение_обращение к трудовому казачеству	1918.01.29	['съезд советов', 'съезд советов 3']	['обращение']	['обращение к трудовому казачеству']	['обращение к трудовому казачеству']	True	False	True	True	False	False
59	1918.01.31_съезд советов.съезд советов 3_постановление_о новом наименовании верховной гос власти	1918.01.31	['съезд советов', 'съезд советов 3']	['постановление']	['о новом наименовании верховной гос власти']	['о новом наименовании верховной гос власти']	True	False	True	False	False	False
60	1918.02.02_ленин.снк_декрет_о свободе совести церковных и религиозных обществах	1918.02.02	['ленин', 'снк']	['декрет']	['о свободе совести церковных и религиозных обществах']	['о свободе совести церковных и религиозных обществах']	True	True	True	False	False	False
61	1918.02.02_ленин.снк_декрет_об отделении церкви от государства и церкви от школы	1918.02.02	['ленин', 'снк']	['декрет']	['об отделении церкви от государства и церкви от школы']	['об отделении церкви от государства и церкви от школы']	True	True	True	False	False	False
62	1918.02.05_ленин.снк_декрет_о конфискации активов бывших частных банков	1918.02.05	['ленин', 'снк']	['декрет']	['о конфискации активов бывших частных банков']	['о конфискации активов бывших частных банков']	True	True	True	False	False	False
63	1918.02.06_ленин.снк_декрет_о введении западноевропейского календаря	1918.02.06	['ленин', 'снк']	['декрет']	['о введении западноевропейского календаря']	['о введении западноевропейского календаря']	True	True	True	False	False	False
64	1918.02.10_снк_декрет_о революционном трибунале печати	1918.02.10	['снк']	['декрет']	['о революционном трибунале печати']	['о революционном трибунале печати']	True	False	True	False	False	False
65	1918.02.13_снк_постановление_постановление об образовании чрезвычайной комиссии по продовольствию	1918.02.13	['снк']	['постановление']	['постановление об образовании чрезвычайной комиссии по продовольствию']	['постановление об образовании чрезвычайной комиссии по продовольствию']	True	False	True	False	False	False
66	1918.02.14_вцик_резолюция.призыв_одобрение доклада мирной делегации.создание красной армии_брестский мир.1 мировая война	1918.02.14	['вцик']	['резолюция', 'призыв']	['одобрение доклада мирной делегации', 'создание красной армии']	['брестский мир', '1 мировая война']	True	False	True	False	False	True
67	1918.02.21_снк_декрет_социалистическое отечество в опасности	1918.02.21	['снк']	['декрет']	['социалистическое отечество в опасности']	['социалистическое отечество в опасности']	True	False	True	False	False	False
68	1918.02.21_снк_обращение_к трудящемуся населению всей россии_красная армия	1918.02.21	['снк']	['обращение']	['к трудящемуся населению всей россии']	['красная армия']	True	False	True	True	False	True
69	1918.03.07_ленин_выступление.отчет.доклад_политический отчет цк_съезд ркпб 7	1918.03.07	['ленин']	['выступление', 'отчет', 'доклад']	['политический отчет цк']	['съезд ркпб 7']	False	True	False	False	True	True
